"crmid","smcreatorid","smownerid","modifiedby","setype","description","createdtime","modifiedtime","viewedtime","status","version","presence","deleted","smgroupid","source","label"
"2","1","1","1","Accounts","","2021-04-27 13:58:28","2021-04-27 13:58:28","NULL","NULL","0","1","0","0","CRM","企業A"
"3","1","1","1","Potentials","","2021-04-27 13:58:35","2021-05-27 19:49:09","NULL","NULL","0","1","0","0","CRM","テスト案件B"
"4","1","1","1","Accounts","","2021-05-12 18:33:22","2021-05-12 18:33:22","NULL","NULL","0","1","0","0","CRM","TEST CC"
"5","1","1","1","Accounts","","2021-05-12 18:41:49","2021-05-12 18:41:49","NULL","NULL","0","1","0","0","CRM","kuikku kigyou"
"6","1","1","1","Contacts","","2021-05-12 18:42:24","2021-05-24 21:21:00","NULL","NULL","0","1","0","0","CRM","ほげほげ2 ふー2223"
"7","1","1","1","Products","","2021-05-12 18:59:16","2021-05-12 18:59:16","NULL","NULL","0","1","0","0","CRM","ddd"
"8","1","1","1","Invoice","ddd","2021-05-17 14:09:58","2021-05-17 14:09:58","NULL","NULL","0","1","0","0","CRM","aaaaa"
"9","1","1","1","Accounts","","2021-04-27 13:58:28","2021-05-19 18:42:59","NULL","NULL","0","1","0","0","IMPORT","企業A"
"10","1","1","1","Accounts","","2021-05-12 18:33:22","2021-05-19 18:42:59","NULL","NULL","0","1","0","0","IMPORT","TEST CC"
"11","1","1","1","Accounts","","2021-05-12 18:41:49","2021-05-19 18:42:59","NULL","NULL","0","1","0","0","IMPORT","kuikku kigyou"
"12","1","1","1","Accounts","","2021-04-27 13:58:28","2021-05-19 18:42:59","NULL","NULL","0","1","0","0","IMPORT","企業A"
"13","1","1","1","Accounts","","2021-05-12 18:33:22","2021-05-19 18:42:59","NULL","NULL","0","1","0","0","IMPORT","TEST CC"
"14","1","1","1","Accounts","","2021-05-12 18:41:49","2021-05-19 18:42:59","NULL","NULL","0","1","0","0","IMPORT","kuikku kigyou"
"15","1","1","1","Accounts","","2021-04-27 13:58:28","2021-05-19 18:42:59","NULL","NULL","0","1","0","0","IMPORT","企業A"
"16","1","1","1","Accounts","","2021-05-12 18:33:22","2021-05-19 18:42:59","NULL","NULL","0","1","0","0","IMPORT","TEST CC"
"17","1","1","1","Accounts","","2021-05-12 18:41:49","2021-05-19 18:42:59","NULL","NULL","0","1","0","0","IMPORT","kuikku kigyou"
"18","1","1","1","Accounts","","2021-04-27 13:58:28","2021-05-19 18:42:59","NULL","NULL","0","1","0","0","IMPORT","企業A"
"19","1","1","1","Accounts","","2021-05-12 18:33:22","2021-05-19 18:42:59","NULL","NULL","0","1","0","0","IMPORT","TEST CC"
